text	label	is_action	names	dates	locations
Brooks, we can talk about this.	False	True	[Brooks]	[]	[]
Brooks, look at me.	False	True	[Brooks]	[]	[]
Look at his neck, for God's sake.	False	True	[God]	[]	[]
Brooks, look at his neck.	False	True	[Brooks]	[]	[]
Say that when you've been here as long as Brooks has.	False	True	[Brooks]	[]	[]
Maybe I should get me a gun and rob the Foodway, so they'd send me home.	False	True	[Foodway]	[]	[]
Well, let's say, for the moment, this Blatch does exist.	False	True	[Blatch]	[]	[]
- Floyd, come on.	False	True	[Floyd]	[]	[]
Promise me, Red, if you ever get out, find that spot.	False	True	[Red]	[]	[]
I can see that, Haig!	False	True	[Haig]	[]	[]
Make it easy on yourself, Norton.	False	True	[Norton]	[]	[]
Remember, Red, hope is a good thing.	False	True	[Red]	[]	[]
A demon god! Yakul, run! It'll attack the village!	False	True	[god, Yakul]	[]	[]
Bring Oracle!	False	True	[Oracle]	[]	[]
Journey there, and see with eyes unclouded.	False	True	[Journey]	[]	[]
I'll think of you... be sure of that. As will I, Kaya.	False	True	[Kaya]	[]	[]
Listen, Riflemen...this gentleman carried your man all the way here.	False	True	[Riflemen]	[]	[]
Forgive me, Toki.	False	True	[Toki]	[]	[]
Take over, Gonza.	False	True	[Gonza]	[]	[]
It will kill monsters and pierce samurai armor.	False	True	[pierce]	[]	[]
I'm sorry to rush you. I'll send saké later.	False	True	[saké]	[]	[]
Wait! You don't treat Lady Eboshi like that!	False	True	[Lady, Eboshi]	[]	[]
Sir, no! You'll die!	False	True	[Sir]	[]	[]
The Deer God brought you back to life, so I'll help you.	False	True	[Deer, God]	[]	[]
Go to the Deer God!	False	True	[Deer, God]	[]	[]
The Deer God will take my life.	False	True	[Deer, God]	[]	[]
Okkoto, wait!	False	True	[Okkoto]	[]	[]
Look on my tribe, Moro. We grow small, and we grow stupid.	False	True	[Moro]	[]	[]
Should we die even to the very last, we will leave the humans in awe.	False	True	[awe]	[]	[]
Keep your promise to the Emperor, then smash Asano.	False	True	[Emperor, Asano]	[]	[]
With the Deer God dead, things will become clear.	False	True	[Deer, God]	[]	[]
Give this to San.	False	True	[San]	[]	[]
The smoke will blind Okkoto.	False	True	[Okkoto]	[]	[]
- I will stay with the Deer God.	False	True	[Deer, God]	[]	[]
Bring Lady Eboshi!	False	True	[Lady, Eboshi]	[]	[]
Bring Lady Eboshi! We'll fight, too!	False	True	[Lady, Eboshi]	[]	[]
Find San!	False	True	[San]	[]	[]
Come out, Deer God!	False	True	[Deer, God]	[]	[]
Tell Mother it's the Deer God the humans want!	False	True	[Deer, God]	[]	[]
Eboshi, listen!	False	True	[Eboshi]	[]	[]
Leave the Deer God!	False	True	[Deer, God]	[]	[]
We're killing a god. Let her do it for us.	False	True	[god]	[]	[]
Jiko! Bring the box!	False	True	[Jiko]	[]	[]
Come on, sun!	False	True	[sun]	[]	[]
Yakul and I will visit you.	False	True	[Yakul]	[]	[]
Go, Sanja.	False	True	[Sanja]	[]	[]
Aunt Tania, have one.	False	True	[Aunt, Tania]	[]	[]
Mommy, look!	False	True	[Mommy]	[]	[]
Really, Anatolij, please tell us.	False	True	[Anatolij]	[]	[]
"Your mother will show us ""Shipr""."	False	True	[Shipr]	[]	[]
Climb up, Sanja.	False	True	[Sanja]	[]	[]
Prove you're a real Soviet!	False	True	[Soviet]	[]	[]
Maybe they'll give room and board at lvanovo.	False	True	[lvanovo]	[]	[]
Look for them, Sanja!	False	True	[Sanja]	[]	[]
We'll surely find them. We have lo!	False	True	[lo]	[]	[]
I'll send you to Siberia... to cut down trees.	False	True	[Siberia]	[]	[]
Chigariov, straighten your back!	False	True	[Chigariov]	[]	[]
"Tell her ""From Toljan""."	False	True	[Toljan]	[]	[]
Amaneh, take over. Be back soon	False	True	[Amaneh]	[]	[]
Line them up, Sergeant	False	True	[Sergeant]	[]	[]
Search them, Sergeant	False	True	[Sergeant]	[]	[]
Wait, Amaneh	False	True	[Amaneh]	[]	[]
Let me give Madi his medicine	False	True	[Madi]	[]	[]
Madi, we'll head for the other side of the hill	False	True	[Madi]	[]	[]
Hi, Ayoub. Bring me Madi for his injection	False	True	[Ayoub, Madi]	[]	[]
Oh God, help Madi. Oh God, make him better	False	True	[God, Madi, God]	[]	[]
Mr Yassin, you must find Ayoub a job	False	True	[Mr, Yassin, Ayoub]	[]	[]
Ayoub, come on. The kids are coming back	False	True	[Ayoub]	[]	[]
Taher, listen you are a brave man and so is your son	False	True	[Taher]	[]	[]
Uncle, come here	False	True	[Uncle]	[]	[]
To ask for Rojine's hand	False	True	[Rojine]	[]	[]
Mrs Mahboubeh, please take care of the children, I beg you	False	True	[Mrs, Mahboubeh]	[]	[]
He said he'd have Madi operated on, then come back	False	True	[Madi]	[]	[]
Rahim, I must get Madi to Iraq!	False	True	[Rahim, Madi]	[]	[Iraq]
To comfort Amélie, her mother gives her a second-hand Instamatic camera.	False	True	[Amélie]	[]	[]
Only the first man to discover Tutankhamen's tomb would understand how she felt on finding this treasure hidden by a little boy 40 years ago.	False	True	[Tutankhamen]	[40 years ago]	[]
Ask Collignon, the grocer. He's lived here all his life.	False	True	[Collignon]	[]	[]
At barely 23, Amélie Poulain let her young, tired body merge with the ebb and flow of universal woe.	False	True	[Amélie, Poulain]	[]	[]
You'll find Mr. Right one day.	False	True	[Mr.]	[]	[]
Gina can defend herself.	False	True	[Gina]	[]	[]
Come off it, Amélie.	False	True	[Amélie]	[]	[]
Sit down, Georgette.	False	True	[Georgette]	[]	[]
Look at Mother Teresa.	False	True	[Mother, Teresa]	[]	[]
- Hold on, Amélie-mellow. Speed kills.	False	True	[Amélie]	[]	[]
Model yourself on Lucien.	False	True	[Lucien]	[]	[]
Practice, Lucien!	False	True	[Lucien]	[]	[]
Lucien, stop!	False	True	[Lucien]	[]	[]
The ghost train. Ask for Nino Quincampoix, like the street.	False	True	[Nino, Quincampoix]	[]	[]
Follow the blue arrows, Mr. Quincampoix.	False	True	[Mr., Quincampoix]	[]	[]
Amélie can only think of two possible explanations.	False	True	[Amélie]	[]	[]
Tell me, Lucien.	False	True	[Lucien]	[]	[]
My rash has come back! Look, Suzanne!	False	True	[Suzanne]	[]	[]
Go into the bedroom, Miss Poulain.	False	True	[Miss, Poulain]	[]	[]
- Okay, you guys go, and we'll just stay here, Francine.	False	True	[Francine]	[]	[]
- Yeah, smoke it up there, uh, Skippy.	False	True	[Skippy]	[]	[]
I think we should hire a... you know, a Frank Sinatra-type, uh, lead singer... as opposed to a James Brown-type lead singer... because, you know, really, let's be honest, there's only oneJames Brown... and, you know, a faux James Brown is really quite intolerable.	False	True	[Frank, Sinatra, James, Brown, oneJames, Brown, James, Brown]	[]	[]
Well, wait, guys.	False	True	[wait]	[]	[]
God, look at this place.	False	True	[God]	[]	[]
Run, Scott.!	False	True	[Scott]	[]	[]
- Scott, let's go!	False	True	[Scott]	[]	[]
- Come on, Scott!	False	True	[Scott]	[]	[]
- Scott, come on!	False	True	[Scott]	[]	[]
- Come on, Scott!	False	True	[Scott]	[]	[]
- Come on, Scott!	False	True	[Scott]	[]	[]
- Carl, look at me.	False	True	[Carl]	[]	[]
Hear me, Father.	False	True	[Father]	[]	[]
Shelter me, O Lord.	False	True	[Lord]	[]	[]
Father, you can do all things.	False	True	[Father]	[]	[]
Wherever you go, Lord I will follow.	False	True	[Lord]	[]	[]
Let Herod judge him.	False	True	[Herod]	[]	[]
See to it that the punishment is severe, Abenader.	False	True	[Abenader]	[]	[]
The Helper will come who reveals the truth about God and who comes from the Father.	False	True	[God, Father]	[]	[]
Permit me, my Lord.	False	True	[Lord]	[]	[]
Let's go Jew!	False	True	[Jew]	[]	[]
Father, forgive them...	False	True	[Father]	[]	[]
Father, forgive them they know not what they do.	False	True	[Father]	[]	[]
Son, behold your mother.	False	True	[Son]	[]	[]
Alexander, the army will divide.	False	True	[Alexander]	[]	[]
To believe when Alexander looked you in the eye, you could do anything.	False	True	[Alexander]	[]	[]
And when bold Cassander breaks, stretching their left a hole will open.	False	True	[Cassander]	[]	[]
Will strike through that gap and deal the deathblow to Darius' head.	False	True	[Darius]	[]	[]
Alexander, even with luck, timing, the gods, they're at least five to our one which means in truth we must rout them tomorrow, destroy their army completely.	False	True	[Alexander]	[tomorrow]	[]
- Come, Alexander we're still not really sure if it was Persian gold behind the assassination.	False	True	[Alexander]	[]	[]
I mean, give the man his due, Parmenion.	False	True	[Parmenion]	[]	[]
Fear not, Hephaistion.	False	True	[Hephaistion]	[]	[]
Phalanx, turn right!	False	True	[Phalanx]	[]	[]
Envelop him, Bessus.	False	True	[Bessus]	[]	[]
Hephaistion, go!	False	True	[Hephaistion]	[]	[]
We must fall back to the gully, Father.	False	True	[Father]	[]	[]
Get word to Alexander!	False	True	[Alexander]	[]	[]
Come, Macedonians!	False	True	[Macedonians]	[]	[]
Prince Merdicus, bring these men up.	False	True	[Prince, Merdicus]	[]	[]
Tell Alexander yourself.	False	True	[Alexander]	[]	[]
We can reach those mountains by sunset, go all night and catch Darius at dawn.	False	True	[Darius]	[]	[]
Be brave again, Glaukos and you will live on in glory.	False	True	[Glaukos]	[]	[]
Stay, Alexander, down.	False	True	[Alexander]	[]	[]
Which god could I curse to have ever laid eyes on you!	False	True	[god]	[]	[]
Come on, Alexander.	False	True	[Alexander]	[]	[]
But I promise you, I will beat you one day, Hephaistion.	False	True	[Hephaistion]	[one day]	[]
- Oh, come on, Nearchus.	False	True	[Nearchus]	[]	[]
If so, an experienced navigator could find his way here by this river east, down into the great plains of India out into the eastern ocean at end of the world and by this route up the Nile back to Egypt, into the Middle Sea and home to Greece.	False	True	[east, eastern, ocean, Nile, Middle, Sea]	[]	[India, Egypt, Greece]
No one will ride that beast, Your Majesty.	False	True	[Majesty]	[]	[]
Buy him for me, Father.	False	True	[Father]	[]	[]
That horse will kill him, Philip.	False	True	[Philip]	[]	[]
You ride that horse and by Zeus I say, you can rule the world.	False	True	[Zeus]	[]	[]
Look, Herakles.	False	True	[Herakles]	[]	[]
Ask Herakles.	False	True	[Herakles]	[]	[]
But all this you'll forget, Alexander.	False	True	[Alexander]	[]	[]
We'll pay them well, Antigonus, but not as mercenaries for future services.	False	True	[Antigonus]	[]	[]
Alexander, I know you think me a stiff old sod but whatever our differences, know this day your father would be very proud of you.	False	True	[Alexander]	[]	[]
Take back what is ours but spare what belongs to the Persians.	False	True	[Persians]	[]	[]
We must hunt Darius down.	False	True	[Darius]	[]	[]
Ptolemy, administer this.	False	True	[Ptolemy]	[]	[]
I must watch him grow stronger. I'm certain that he communicates secretly with Parmenion, who is dangerous. But beware, most of all, of those closest to you.	False	True	[Parmenion]	[]	[]
Only Hephaistion do I leave out.	False	True	[Hephaistion]	[]	[]
Remember, bring me to Babylon as you promised.	False	True	[Babylon]	[]	[]
I can only help you, for they know if they harm you they will face my wrath, as Queen of Babylon.	False	True	[Queen, Babylon]	[]	[]
Bring her, Alexander.	False	True	[Alexander]	[]	[]
Stay with me tonight, Hephaistion.	False	True	[Hephaistion]	[]	[]
But as Alexander's army, they can go where they never thought possible.	False	True	[Alexander]	[]	[]
We could connect these lands, Hephaistion and the people.	False	True	[Hephaistion]	[]	[]
To take an Asian as my queen, not a captive is a sign of respect for our subjects.	False	True	[Asian]	[]	[]
At the very least, for Zeus' sake and in respect to the council that chose you king give us a Macedonian heir.	False	True	[Zeus]	[]	[]
After the wedding, take two brigades to Babylon, where I look to you and Antipater in Greece, to maintain our empire and supply this expedition.	False	True	[Babylon, Antipater]	[]	[Greece]
I'll winter with my army at Marakand.	False	True	[Marakand]	[winter]	[]
Have another drink, Cleitus.	False	True	[Cleitus]	[]	[]
My daughter, Roxane she shall make you good wife.	False	True	[Roxane]	[]	[]
We shall fight for you, Alexander.	False	True	[Alexander]	[]	[]
I'll always think of you as the sun, Alexander.	False	True	[Alexander]	[]	[]
Many will love you, Alexander, but none so pure and deep...	False	True	[Alexander]	[]	[]
Return to Babylon and strengthen your center.	False	True	[Babylon]	[]	[]
He will marry her in the spring, during Dionysus' Festival and when her first son is born her sweet uncle Attalus will convince Philip to name the boy his successor with himself as regent.	False	True	[Dionysus, Festival, Attalus, Philip]	[the spring]	[]
Announce your marriage to a Macedonian now.	False	True	[Macedonian]	[]	[]
I do remember you, Philotas, but not as you remember yourself.	False	True	[Philotas]	[]	[]
Then go, Antigonus, and Cleitus.	False	True	[Antigonus, Cleitus]	[]	[]
Come, Alexander, drink this sadness away.	False	True	[Alexander]	[]	[]
I'll sleep in my grave, Hephaistion.	False	True	[Hephaistion]	[]	[]
Come, Attalus, leave some damn air in the hall!	False	True	[Attalus]	[]	[]
Apologize, by Zeus, before you dishonor me.	False	True	[Zeus]	[]	[]
Were we gods, we'd breach these walls to the eastern ocean.	False	True	[eastern, ocean]	[]	[]
Let us go back to Babylon.	False	True	[Babylon]	[]	[]
Come, Alexander, drink with us.	False	True	[Alexander]	[]	[]
But Dionysus, bless his ancient soul frees me from myself.	False	True	[Dionysus]	[]	[]
Let me rot in Macedonian rags rather than shine in Eastern pomp.	False	True	[Eastern]	[]	[Macedonian]
Go quickly, Cleitus, before you ruin your life.	False	True	[Cleitus]	[]	[]
- Pausanias, bring the rest of the guard.	False	True	[Pausanias]	[]	[]
Let these Greeks see for themselves how I can walk through my people.	False	True	[Greeks]	[]	[]
Cleitus, make sure the wine flows steady all day.	False	True	[Cleitus]	[]	[]
Have courage, Father.	False	True	[Father]	[]	[]
May the gods bless Alexander!	False	True	[Alexander]	[]	[]
We'll build a fleet of ships and sail all the way back down the Nile to Egypt.	False	True	[Nile]	[]	[Egypt]
To share our great treasures and tales of Asia.	False	True	[Asia]	[]	[]
For I will go on, with my Asians.	False	True	[Asians]	[]	[]
Fear is rot.	False	True	[Fear]	[]	[]
Come, Macedonians.	False	True	[Macedonians]	[]	[]
Meleager, ride to Pharnakes and tell him return to the center.	False	True	[Meleager, Pharnakes]	[]	[]
Find Hephaistion at the riverbank and bring all cavalry to the center.	False	True	[Hephaistion]	[]	[]
We must reach Crateros before it's too late.	False	True	[Crateros]	[]	[]
Come, Macedonians.	False	True	[Macedonians]	[]	[]
Come, Macedonians.	False	True	[Macedonians]	[]	[]
Execute Attalus without delay.	False	True	[Attalus]	[]	[]
Then get a second opinion from the Phoenicians.	False	True	[Phoenicians]	[]	[]
Come, fight, Hephaistion.	False	True	[Hephaistion]	[]	[]
From there, we'll build a channel through the desert and out to the Middle Sea.	False	True	[Middle, Sea]	[]	[]
And then we'll move on Carthage.	False	True	[Carthage]	[]	[]
And then explore the northern forests and out the Pillars of Herakles to the western ocean.	False	True	[Pillars, Herakles]	[]	[]
Asia and Europe will come together.	False	True	[Asia, Europe]	[]	[]
And we'll grow old, Hephaistion looking out our balcony at this new world.	False	True	[Hephaistion]	[]	[]
- Bless you, Alexander.	False	True	[Alexander]	[]	[]
Bless you, Alexander.	False	True	[Alexander]	[]	[]
Come to Babylon.	False	True	[Babylon]	[]	[]
Alexander, the army will divide.	False	True	[Alexander]	[]	[]
But I will say his love and devotion for Alexander were unquestionable and extraordinary.	False	True	[Alexander]	[]	[]
Oh, just throw all that away, Cadmos.	False	True	[Cadmos]	[]	[]
I've lived long life, Cadmos but the glory and the memory of man will always belong to the ones who follow their great visions.	False	True	[Cadmos]	[]	[]
"The Führer will speak to you first, and you just say, ""Heil, my Führer. """	False	True	[Führer, Heil, Führer]	[]	[]
If the Führer stays, he'll take the whole Reich down with him.	False	True	[Führer, Reich]	[]	[]
Speak to Hewel...	False	True	[Hewel]	[]	[Speak]
"""Sieg Heil"", but behind their backs say, ""Kiss my a... aunt. """	False	True	[Sieg, Heil]	[]	[]
Come here, Hewel.	False	True	[Hewel]	[]	[]
Give me an hour with Eisenhower, and he'll agree.	False	True	[Eisenhower]	[]	[]
Drop in to visit me at Hohenlychen sometime.	False	True	[Hohenlychen]	[]	[]
Say something, Eva.	False	True	[Eva]	[]	[]
The Russians will attack from both sides, so there's no escape.	False	True	[Russians]	[]	[]
When the Russians come and you're still here, you'll all die!	False	True	[Russians]	[]	[]
I may be repeating myself, but the 9th Army must retreat.	False	True	[Army]	[]	[]
Tell Busse to fight where he stands.	False	True	[Busse]	[]	[]
We will drive back the Soviet units in the north and east with a relentless and almighty assault.	False	True	[east]	[]	[]
Steiner's division will attack from the north and unite with the 9th.	False	True	[Steiner]	[]	[]
Have Wenck support them with the 12th Army.	False	True	[Wenck, Army]	[]	[]
The western Allies will realize that only we can hold off the Bolsheviks.	False	True	[Allies]	[]	[Bolsheviks]
If we hold Berlin for a few more days we'll make a deal with the Americans.	False	True	[Americans]	[a few more days]	[Berlin]
Steiner's scattered unit can hardly defend itself, and now he wants Steiner to attack.	False	True	[Steiner, Steiner]	[]	[]
He'd kick us out like Rundstedt and Guderian.	False	True	[Rundstedt, Guderian]	[]	[]
Convince him that we have to leave Berlin, Eva!	False	True	[Eva]	[]	[Berlin]
I think you should explain it to the Führer yourself. Come along.	False	True	[Führer]	[]	[]
Steiner's assault will bring it under control.	False	True	[Steiner]	[]	[]
Gerda, please calm yourself.	False	True	[Gerda]	[]	[]
Tell Ilse that the children can't take too many toys.	False	True	[Ilse]	[]	[]
- Nice to see you, Frau Junge.	False	True	[Frau, Junge]	[]	[]
Come here, Helga.	False	True	[Helga]	[]	[]
We'll put on our best clothes, and then you can say hello to Uncle Hitler.	False	True	[Uncle, Hitler]	[]	[]
You should know that Hermann isn't here.	False	True	[Hermann]	[]	[]
A merciful God will understand me for giving them redemption.	False	True	[God]	[]	[]
You'll also get the diamond bracelet and the topaz pendant which the Führer gave me for my birthday.	False	True	[Führer]	[]	[]
You might receive some other bills, too, but not for more than 1,500 Reichsmarks.	False	True	[Reichsmarks]	[]	[]
