,Word,definition
426,long,"(archaic) On account of, because of."
427,long,"(archaic) To be appropriate to, to pertain or belong to."
428,say,(transitive) To pronounce.
429,say,A chance to speak; the right or power to influence or make a decision.
430,say,For example; let us assume.
431,say,(colloquial) Used to gain one's attention before making an inquiry or suggestion
432,say,(Scotland) A strainer for milk.
433,say,To try; to assay.
434,say,Trial by sample; assay; specimen.
435,say,A type of fine cloth similar to serge.
436,might,"(countable, uncountable) Power, strength, force or influence held by a person or group."
437,might,(obsolete) Mighty; powerful.
438,might,(auxiliary) Used to indicate conditional or possible actions.
439,how,To what degree.
440,how,In what state.
441,how,The means by which something is accomplished.
442,how,In which way; in such way.
443,how,(dialectal) An artificial barrow or tumulus.
444,how,"A greeting, used in representations of Native American speech."
445,am,first-person singular present indicative of be
446,am,Alternative spelling of a.m.
447,too,(focus) Likewise.
448,even,(archaic or poetic) Evening.
449,even,Flat and level.
450,even,(transitive) To make flat and level.
451,even,"(archaic) Exactly, just, fully."
452,even,"(mathematics, diminutive) An even number."
453,def,"(African American Vernacular, slang) very good (short for ""definitive"" or ""definitely"", alternately an eye spelling of ""death"" referring to an absolute)"
454,again,Another time; once more. [from 14thc.]
455,again,(obsolete or dialectal) Against.
456,many,An indefinite large number of.
457,many,A collective mass of people.
458,many,A multitude; a great aggregate; a mass of people; the generality; the common herd.
459,back,"A large shallow vat; a cistern, tub, or trough, used by brewers, distillers, dyers, picklers, gluemakers, and others, for mixing or cooling wort, holding water, hot glue, etc."
460,back,(not comparable) Near the rear.
461,back,(not comparable) To or in a previous condition or place.
462,back,"The rear of the body, especially the part between the neck and the end of the spine and opposite the chest and belly."
463,back,(intransitive) To go in the reverse direction.
464,here,"(location) In, on, or at this place."
465,here,(abstract) This place; this location.
466,here,"Filler after a noun or demonstrative pronoun, solely for emphasis."
467,here,(slang) Used semi-assertively to offer something to the listener.
468,think,"(transitive) To ponder, to go over in one's head."
469,think,(chiefly Britain) An act of thinking; consideration (of something).
470,think,"(obsolete  except in methinks) To seem, to appear."
471,every,"All of a countable group (considered individually), without exception."
472,people,Used as plural of person; a body of human beings considered generally or collectively; a group of two or more persons.
473,people,(transitive) To stock with people or inhabitants; to fill as with people; to populate.
474,went,simple past tense of go
475,went,"(obsolete) A course; a way, a path; a journey."
476,same,(obsolete or Britain dialectal) Together.
477,same,Not different or other; not another or others; not different as regards self; selfsame; identical.
478,same,"The identical thing, ditto."
479,same,(Internet slang) Indicates the speaker's strong approval or agreement with the previous material.
480,last,(obsolete) A burden; load; a cargo; freight.
481,last,"(transitive, obsolete) To perform, carry out."
482,last,"Final, ultimate, coming after all others of its kind."
483,last,The (one) immediately before the present.
484,last,Most recently.
485,last,A tool for shaping or preserving the shape of shoes.
486,last,To shape with a last; to fasten or fit to a last; to place smoothly on a last.
487,thought,"Form created in the mind, rather than the forms perceived through the five senses; an instance of thinking."
488,thought,simple past tense and past participle of think
489,away,"From a place, hence."
490,away,(Northern England) come on!; go on!
491,away,"Not here, gone, absent, unavailable, traveling; on vacation."
492,away,Misspelling of aweigh.
493,under,In or at a lower level than.
494,under,In a way lower or less than.
495,under,Being lower; being beneath something.
496,take,"(transitive) To get into one's hands, possession, or control, with or without force."
497,take,The or an act of taking.
498,found,"A thin, single-cut file for comb-makers."
499,found,"To melt, especially of metal in an industrial setting."
500,found,(transitive) To start (an institution or organization).
501,found,simple past tense and past participle of find
502,found,(obsolete) Food and lodging; board.
503,hand,"The part of the fore limb below the forearm or wrist in a human, and the corresponding part in many other animals."
504,hand,"(transitive) To give, pass, or transmit with the hand, literally or figuratively."
505,eyes,plural of eye
506,eyes,Third-person singular simple present indicative form of eye
507,still,"(obsolete) To trickle, drip."
508,still,"to calm down, to quiet"
509,still,a device for distilling liquids.
510,still,Not moving; calm.
511,still,Without motion.
512,still,A period of calm or silence.
513,place,(physical) An area; somewhere within an area.
514,place,(transitive) To put (an object or person) in a specific location.
515,while,"An uncertain duration of time, a period of time."
516,while,During the same time that.
517,while,"(Northern England, Scotland) Until."
518,while,(transitive) To pass (time) idly.
519,just,"A joust, tournament."
520,just,"To joust, fight a tournament."
521,just,"Factually right, correct; factual."
522,just,"Only, simply, merely."
523,just,(slang) Expressing dismay or discontent.
524,also,"(conjunctive, focus) In addition; besides; as well; further; too. [from 14th c.]"
525,young,In the early part of growth or life; born not long ago.
526,young,"People who are young; young people, collectively; youth."
527,young,(informal or demography) To become or seem to become younger.
528,yet,"(dialectal) To melt; found; cast, as metal."
529,yet,(dialectal) A metal pan or boiler; yetling.
530,yet,(usually with negative) Thus far; up to the present; up to some specified time.
531,yet,Nevertheless; however; but; despite that.
532,though,(conjunctive) Despite that; however.
533,though,Despite the fact that; although.
534,against,"(heading, physical) A close but separated relationship."
535,against,(obsolete) By the time that (something happened); before.
536,things,plural of thing
537,things,Third-person singular simple present indicative form of thing
538,get,(ditransitive) To obtain; to acquire.
539,get,(dated) Offspring.
540,get,"(Britain, regional) A git."
541,get,(Judaism) A Jewish writ of divorce.
542,ever,"Always, frequently, forever."
543,ever,"(epidemiology) Occurring at any time, occurring even but once during a timespan."
544,ever,(dialectal and informal) Shortening of every
545,give,"(ditransitive) To move, shift, provide something abstract or concrete to someone or something or somewhere."
546,give,(uncountable) The amount of bending that something undergoes when a force is applied to it; a tendency to yield under pressure; resilence.
547,god,"A deity or supreme being; a supernatural, typically immortal, being with superior powers."
548,god,(very rare) Alternative form of God
549,god,To idolize.
550,years,plural of year.
551,off,In a direction away from the speaker or object.
552,off,"Inoperative, disabled."
553,off,Used to indicate movement away from a position on
554,off,"(transitive, slang) To kill."
555,off,(rare) Beginning; starting point.
556,face,"(anatomy) The front part of the head, featuring the eyes, nose, and mouth and the surrounding area."
557,face,"(transitive, of a person or animal) To position oneself or itself so as to have one's face closest to (something)."
558,nothing,Not any thing; no thing.
559,nothing,"Something trifling, or of no consequence or importance."
560,nothing,(archaic) Not at all; in no way.
561,right,"That which complies with justice, law or reason."
562,right,"(archaic) Straight, not bent."
563,right,(transitive) To correct.
564,right,On the right side.
565,right,"Yes, that is correct; I agree."
566,once,(frequency) One and only one time.
567,once,As soon as; when; after.
568,another,"One more, in addition to a former number; a second or additional one, similar in likeness or in effect."
569,another,An additional one of the same kind.
570,left,"(Ireland, colloquial) permitted, allowed to proceed."
571,left,simple past tense and past participle of leave.
572,left,The opposite of right; toward the west when one is facing north.
573,left,On the left side.
574,left,The left side or direction.
575,part,A portion; a component.
576,part,"(intransitive) To leave someone's company; (rare, poetic, literary) to go way;  to die; to get rid of something, stop using it."
577,part,Fractional; partial.
578,part,Partly; partially; fractionally.
579,saw,simple past tense of see
580,saw,(slang) what's up (either as a greeting or actual question)
581,saw,"(obsolete) Something spoken; speech, discourse."
582,saw,"A tool with a toothed blade used for cutting hard substances, in particular wood or metal"
583,saw,(transitive) To cut (something) with a saw.
