starttime	text	fname	is_action	dates	locations	names
34.35	Um I'll go ahead and go through the minutes from the previous meeting .	ES2016d.A.words.xml	go	[]	[]	[]
38.77	Uh and then we'll have a , the prototype presentation .	ES2016d.A.words.xml	have	[]	[]	[]
46.13	Um then we will um do an evaluation .	ES2016d.A.words.xml	do	[]	[]	[]
57.48	Then we'll go through the finance and see if we fall within the budget .	ES2016d.A.words.xml	go	[]	[]	[]
62.05	Um then we'll do the evaluation , and then we can finish up after that with um any changes that we'll need to make , or hopefully everything will fall right in line .	ES2016d.A.words.xml	do	[]	[]	[]
341.83	Um do you have a marketing presentation for us .	ES2016d.A.words.xml	have	[]	[]	[]
724.89	Pray that you don't accidentally lose that piece .	ES2016d.A.words.xml	Pray	[]	[]	[]
985.78	Wonder if I can make this 	ES2016d.A.words.xml	Wonder	[]	[]	[]
1282.72	Besides look at what the L.C.D. does to our lovely remote .	ES2016d.A.words.xml	look	[]	[]	[L.C.D.]
1348.11	Let's see here .	ES2016d.A.words.xml	Let	[]	[]	[]
1419.97	think we tried a lotta different things and um 	ES2016d.A.words.xml	think	[]	[]	[]
1482.84	Um complete the final questionnaire and meeting summary .	ES2016d.A.words.xml	complete	[]	[]	[]
1509.99	And then we'll have to check with the main boss whether we can , what goes on after that .	ES2016d.A.words.xml	have	[]	[]	[]
28.45	So we should have our final meeting about the detail designed of detail design of the product of the remote control .	IS1004d.A.words.xml	have	[]	[]	[]
57.34	And we'll have um presentation of evaluation crit criteria by ou our Marketing Experts .	IS1004d.A.words.xml	have	[]	[]	[]
63.16	Then we'll have to go through finance evaluation of the of the cost of the thing and um hopefully uh we should fit the target o tw of twelve point five uh uh Euro .	IS1004d.A.words.xml	have	[]	[]	[Euro]
158.66	Yeah can you show it to the the camera maybe .	IS1004d.A.words.xml	show	[]	[]	[]
258.58	To navigate it through th through teletext .	IS1004d.A.words.xml	navigate	[]	[]	[]
750.34	No , wait .	IS1004d.A.words.xml	wait	[]	[]	[]
815.21	Uh for a remote control , does he have all the 	IS1004d.A.words.xml	have	[]	[]	[]
820.69	you could expect .	IS1004d.A.words.xml	expect	[]	[]	[]
931.85	Of course I'll buy the banana .	IS1004d.A.words.xml	buy	[]	[]	[]
1143.28	So and last question , will I change my rem change my remote control from Mando banana .	IS1004d.A.words.xml	change	[]	[]	[Mando]
1222.69	Well maybe we should we should uh have a look globally glob 	IS1004d.A.words.xml	have	[]	[]	[]
1242.17	So maybe maybe w we can we should stick to general feeling .	IS1004d.A.words.xml	stick	[]	[]	[]
1246.41	We can had uh have a out of these numbers , which which is that well we should go for it .	IS1004d.A.words.xml	have	[]	[]	[]
1366.71	Let's go ahead .	IS1004d.A.words.xml	Let	[]	[]	[]
1401.78	Okay so I'll remove it .	IS1004d.A.words.xml	remove	[]	[]	[]
1608.19	So mayb in fact n we have to put two here 	IS1004d.A.words.xml	mayb	[]	[]	[]
1643.59	Um we'll invest in R. and D. .	IS1004d.A.words.xml	invest	[]	[]	[R., D.]
1653.6	So we can go to through to project evaluation .	IS1004d.A.words.xml	go	[]	[]	[]
1674.27	None of us will buy it .	IS1004d.A.words.xml	buy	[]	[]	[]
1772.02	Yeah maybe we should go through , yeah an uh evaluation .	IS1004d.A.words.xml	go	[]	[]	[]
1780.72	So maybe you should we should do a kinda evaluation 	IS1004d.A.words.xml	do	[]	[]	[]
1919.38	Maybe maybe we can hassle the the 	IS1004d.A.words.xml	hassle	[]	[]	[]
274.84	Just tr try to guess who is a User Interface Designer .	IS1006a.B.words.xml	try	[]	[]	[User, Interface, Designer]
494.26	Just to hold it .	IS1006a.B.words.xml	hold	[]	[]	[]
612.93	I mean if it's less than three uh then we can make it uh like a 	IS1006a.B.words.xml	make	[]	[]	[]
619.46	like three mental states , yeah you know what I mean , we can just make it uh 	IS1006a.B.words.xml	make	[]	[]	[]
659.68	But for standard actions you usually what do you do , you change channels , you adjust volume , and nothing else .	IS1006a.B.words.xml	do	[]	[]	[]
683.14	I usually just change channels .	IS1006a.B.words.xml	change	[]	[]	[]
64.5	Um it's our conceptual design meeting and it's starting at approximately fourteen twenty five and so we have forty minutes for this one again and so we'll go just after three o'clock .	ES2008c.A.words.xml	go	[]	[]	[]
75.96	Um okay our agenda , we're gonna do an opening , I'm gonna review the minutes of the last meeting , then we'll have your three presentations um and then we'll have to make a decision on the remote control concepts , and finally we'll close .	ES2008c.A.words.xml	have	[]	[]	[]
128.59	I'd like to do it in this order , first do the conceptual specification of components , properties and materials um and then the conceptual specification of user interface and finally trend watching .	ES2008c.A.words.xml	do	[]	[]	[]
508.53	Um if you made notes yourself you can put those on our um underneath our oh , uh in your book , then don't worry about that .	ES2008c.A.words.xml	put	[]	[]	[]
929.78	I do think that um one of the important features for a remote is seeing a menu and seeing what's on .	ES2008c.A.words.xml	think	[]	[]	[]
1259.84	Okay , do we have any s some questions for this , let's see um .	ES2008c.A.words.xml	have	[]	[]	[]
1285.94	It's kind of and then it we would have to find a way to protect like the chip and all that , I dunno .	ES2008c.A.words.xml	have	[]	[]	[]
1401.33	But then the buttons would have to be very small .	ES2008c.A.words.xml	have	[]	[]	[]
1410.86	They would have to be within a certain amount of space with each other .	ES2008c.A.words.xml	have	[]	[]	[]
1524.11	continue with my pres presentation .	ES2008c.A.words.xml	continue	[]	[]	[]
1525.9	Um I've one more slide before we close , but in that slide is when we need to make decisions about this these kinds of things , so I'll just bring that up and show you all 	ES2008c.A.words.xml	bring	[]	[]	[]
1695.44	Um okay , then we'll move on to the case .	ES2008c.A.words.xml	move	[]	[]	[]
1873.46	So we uh we do want latex .	ES2008c.A.words.xml	want	[]	[]	[]
1940.94	And if we had a sc an on-screen um kind of thing that you could scroll through , like you can use your buttons to scroll through things .	ES2008c.A.words.xml	use	[]	[]	[]
2047.12	Well , but in order to pre-set a cha oh I guess you can just hold it down when you get to one when you're scrolling through .	ES2008c.A.words.xml	set	[]	[]	[]
2064.26	Um our next meeting starts in thirty minutes , um you each have things to do , look and feel design , user interface design , product evaluation , and you two are going to work together on a prototype using modelling clay .	ES2008c.A.words.xml	look	[]	[]	[]
2074.56	You'll get specific instructions from your personal coach .	ES2008c.A.words.xml	get	[]	[]	[]
555.88	Remember you use uh different colours , and different pen widths .	TS3007a.D.words.xml	Remember	[]	[]	[]
573.22	Save it .	TS3007a.D.words.xml	Save	[]	[]	[]
617.68	Open .	TS3007a.D.words.xml	Open	[]	[]	[]
806.31	Think you uh picked the wrong uh function .	TS3007a.D.words.xml	Think	[]	[]	[]
936.57	It will do .	TS3007a.D.words.xml	do	[]	[]	[]
956.87	Let's go on then .	TS3007a.D.words.xml	Let	[]	[]	[]
1105.18	Yeah , I can find Uh .	TS3007a.D.words.xml	find	[]	[]	[]
1175.91	Okay , I'll wrap it up quickly .	TS3007a.D.words.xml	wrap	[]	[]	[]
1187.35	And uh by making it multi-purpose , it uh has a new feature , adds a new feature to the market , and distinguish from uh from current products .	TS3007a.D.words.xml	distinguish	[]	[]	[]
1209.5	Um think about um sending it over radio waves or bluetooth .	TS3007a.D.words.xml	think	[]	[]	[]
1277.38	Look , you got some cheap uh remote controls there .	TS3007a.D.words.xml	Look	[]	[]	[]
1292.34	uh wanna gain market share 	TS3007a.D.words.xml	gain	[]	[]	[]
1391.04	make some mock-ups , some some general ideas .	TS3007a.D.words.xml	make	[]	[]	[]
1395.12	And and then we can plan 	TS3007a.D.words.xml	plan	[]	[]	[]
1400.84	We can plan further , I think .	TS3007a.D.words.xml	plan	[]	[]	[]
1391.97	So just to summarise the most important things which came out of the remote control market investigation .	ES2014c.D.words.xml	summarise	[]	[]	[]
1445.17	And then also try and add in technological informat innovation which could be our sort of find the thing with a hand clap .	ES2014c.D.words.xml	try	[]	[]	[]
1468.77	So maybe we could make the buttons shaped like fruit and veg , or the the buttons could be spongy , uh somehow .	ES2014c.D.words.xml	make	[]	[]	[]
1477.3	Maybe we could make them out of rubber rather than sort of hard plastic .	ES2014c.D.words.xml	make	[]	[]	[]
1481.46	And then sort of even wackier than that , we could maybe have a fruit or vegetable shaped remote , say in the shape of a banana or something like that .	ES2014c.D.words.xml	have	[]	[]	[]
1926.57	like sort of having all fruit shaped keys , that that probably would go out of fashion very quickly , whereas just the fact that it was a rubber case is probably less less of something that 	ES2014c.D.words.xml	go	[]	[]	[]
2008.91	That should come up .	ES2014c.D.words.xml	come	[]	[]	[]
52.42	Remember , I'm an old man .	IS1002c.D.words.xml	Remember	[]	[]	[]
311.02	We can we can o we can uh accentuate whatever whatever product you put in there we can find a way to accentuate it .	IS1002c.D.words.xml	find	[]	[]	[]
346.22	And if you make it from that super rubber , when you drop it on the floor it can bounce right back up in your hand .	IS1002c.D.words.xml	bounce	[]	[]	[]
734.72	See what it looks like .	IS1002c.D.words.xml	See	[]	[]	[]
830.84	I give me a lower price , give me a higher price , give me some new technology , don't give me the same thing that everybody else is putting out there on the shelf it's f at the same price .	IS1002c.D.words.xml	give	[]	[]	[]
847.16	What i if when when we have yeah when we when we have something like the cradle or or something give that's as as a marketing standard I need something to market , to make this product unique .	IS1002c.D.words.xml	make	[]	[]	[]
879.71	Just remember when I made up this report I didn't have the information that we're discussing here .	IS1002c.D.words.xml	remember	[]	[]	[]
926.56	And I just whatever product you guys put together , we'll find a way to market it .	IS1002c.D.words.xml	find	[]	[]	[]
1087.65	I think we got some exclusivity in that , you know , we got something that nobody else has right now , and and that means we can we can make some adjustments in the retail or wholesale price if we need to and it also can create it's own demand from it's uniqueness .	IS1002c.D.words.xml	create	[]	[]	[]
1277.71	And so we can go with the same thing , but we're gonna be com competing in a in a broader market than if we go with something unique .	IS1002c.D.words.xml	go	[]	[]	[]
1290.68	Make a remote that doesn't look like a remote .	IS1002c.D.words.xml	Make	[]	[]	[]
1416.93	Or maybe you can like have a a smell-o-rama , you know you push a button and it s puts out a stink .	IS1002c.D.words.xml	have	[]	[]	[rama]
1606.37	So I can go uh presuming I have , on my television , something that tells me what channel I'm on , I can scroll direct from channel five to channel thirty two .	IS1002c.D.words.xml	go	[]	[]	[]
1647.15	Oh no we could read it from the television .	IS1002c.D.words.xml	read	[]	[]	[]
1661.75	Yeah the the television can tell you .	IS1002c.D.words.xml	tell	[]	[]	[]
1670.38	Put 	IS1002c.D.words.xml	Put	[]	[]	[]
1808.39	We can increase the cost .	IS1002c.D.words.xml	increase	[]	[]	[]
1827.85	Well I think th I think the design and technology has to come back and say , okay to create this product we see it's gonna cost us this much for this volume , because we do have a volume target of of fifty million profit .	IS1002c.D.words.xml	have	[]	[]	[]
2001.89	You guys you guys can uh create a 	IS1002c.D.words.xml	create	[]	[]	[]
33.78	Uh , we should save that one .	TS3005d.C.words.xml	save	[]	[]	[]
39.07	Yeah , save in the folder .	TS3005d.C.words.xml	save	[]	[]	[]
41.14	Save as project .	TS3005d.C.words.xml	Save	[]	[]	[]
119.81	Get up stand up .	TS3005d.C.words.xml	Get	[]	[]	[]
128.48	View .	TS3005d.C.words.xml	View	[]	[]	[]
210.72	So uh you can scroll down too with the scroll uh button , uh as you can see oh , it's here , just push it in , uh the menu comes out like this and uh i it all becomes visible .	TS3005d.C.words.xml	scroll	[]	[]	[]
266.46	Okay , we can uh modify that later .	TS3005d.C.words.xml	modify	[]	[]	[]
496.11	Suppose so .	TS3005d.C.words.xml	Suppose	[]	[]	[]
522.65	Uh make it uh rather thick on the top , because uh on the top it has uh the screen , which takes uh in some uh space , and the batteries can be located over there , so uh 	TS3005d.C.words.xml	make	[]	[]	[]
680.0	Take a harder look , yeah , sure .	TS3005d.C.words.xml	Take	[]	[]	[]
868.35	Give me more .	TS3005d.C.words.xml	Give	[]	[]	[]
1021.52	Click .	TS3005d.C.words.xml	Click	[]	[]	[]
1040.57	So ma uh make it make it a two .	TS3005d.C.words.xml	make	[]	[]	[ma]
1120.82	Turn uh turn up the volume .	TS3005d.C.words.xml	turn	[]	[]	[]
1199.4	Yeah , you can navigate .	TS3005d.C.words.xml	navigate	[]	[]	[]
1212.46	Let's start over again then .	TS3005d.C.words.xml	Let	[]	[]	[]
1249.0	Save .	TS3005d.C.words.xml	Save	[]	[]	[]
1372.19	Count it .	TS3005d.C.words.xml	Count	[]	[]	[]
1378.62	Well I dra uh Danny , Danny , I'll do that , because I draw the uh 	TS3005d.C.words.xml	do	[]	[]	[dra, Danny, Danny]
1400.93	Hand 	TS3005d.C.words.xml	Hand	[]	[]	[]
1483.69	We could lose the scroll wheel .	TS3005d.C.words.xml	lose	[]	[]	[]
1485.07	You could make it just a regular scroll wheel .	TS3005d.C.words.xml	make	[]	[]	[]
1503.55	Lose 	TS3005d.C.words.xml	Lose	[]	[]	[]
1610.82	To knock the sample speaker , yeah .	TS3005d.C.words.xml	knock	[]	[]	[]
1616.43	But m yeah , course , but What we'll have .	TS3005d.C.words.xml	have	[]	[]	[]
1622.3	Let's make it thirteen or fourteen .	TS3005d.C.words.xml	Let	[]	[]	[]
1679.84	And then you can and then you can add to the colours .	TS3005d.C.words.xml	add	[]	[]	[]
1692.68	You lose this one , you got eleven point five and you make i and then you can make uh the spec single curve , for example .	TS3005d.C.words.xml	make	[]	[]	[spec]
2013.39	No , add 	TS3005d.C.words.xml	add	[]	[]	[]
2136.7	So you can draw uh see it over th on the screen .	TS3005d.C.words.xml	draw	[]	[]	[]
2221.4	To make some designs , it is very easy .	TS3005d.C.words.xml	make	[]	[]	[]
2227.47	But to write it th yeah .	TS3005d.C.words.xml	write	[]	[]	[]
2327.72	Make a r yeah .	TS3005d.C.words.xml	Make	[]	[]	[]
2544.53	Let's let's have party .	TS3005d.C.words.xml	Let	[]	[]	[]
2546.93	Let's have some fun .	TS3005d.C.words.xml	Let	[]	[]	[]
738.52	And yeah , and then just to um put the main function of the remote control in in words .	ES2006b.D.words.xml	put	[]	[]	[]
758.0	And uh w some of the main functions would be switching on , switching off , uh then the user would like to switch the channel um for example just m changing to the next channel to to flip through all all of the possible channels , or then mm uh the other possibility would be that um she might just want to choose one particular channel , so we would need the numbers .	ES2006b.D.words.xml	need	[]	[]	[]
846.12	And then it must be easy to use , so it must follow some conventions um like whereabouts you find the on off button and maybe the colour tends to be red or something .	ES2006b.D.words.xml	follow	[]	[]	[]
1017.91	I think I th I would I would think the put the buttons , but if if you have other mm proposals um .	ES2006b.D.words.xml	think	[]	[]	[]
1059.79	Wait .	ES2006b.D.words.xml	Wait	[]	[]	[]
1711.56	Yeah , but at the same time I think maybe we can we can just decide to to have both of these groups as our target , because actually I mean they're all still re young people .	ES2006b.D.words.xml	re	[]	[]	[]
2098.98	Oh so so we'll just put them i there , we we yeah , w we won't even okay .	ES2006b.D.words.xml	put	[]	[]	[]
2160.15	To prepare , okay , yeah , that's good .	ES2006b.D.words.xml	prepare	[]	[]	[]
231.61	I'll try and draw my favourite animal .	ES2008a.C.words.xml	try	[]	[]	[]
239.09	I'll I should leave that one on there shouldn't I before I callously rub it off .	ES2008a.C.words.xml	leave	[]	[]	[]
573.0	I find them they can be a bit annoying , especially , like you know if I'm watching T.V. I have have to have three separate remote controls of in front of me , you know , one for the T.V. , one for the digital box , one for m the video recorder as well .	ES2008a.C.words.xml	have	[]	[]	[T.V., T.V., digital]
588.15	And also they tend to they tend to be a bit confusing , they've got too many buttons on them uh too too sort of too sort of complicated when all I really wanna do is switch on and off , change the channel , change the volume .	ES2008a.C.words.xml	change	[]	[]	[]
783.99	Can I ask , are we designing a remote control for a television only um , and if if this device is just to be used for the television 	ES2008a.C.words.xml	ask	[]	[]	[]
833.0	So we should maybe we should assume that i t it's just a television that we're wanting to control .	ES2008a.C.words.xml	assume	[]	[]	[]
657.09	Buy a fifty cents battery and uh 	TS3007c.B.words.xml	Buy	[]	[]	[]
684.9	Or do you think it Rubber casing , yeah .	TS3007c.B.words.xml	think	[]	[]	[]
700.58	Um , well d Maybe I can ask it right now the question that I have .	TS3007c.B.words.xml	ask	[]	[]	[]
766.38	It might even bounce back when you drop it on the floor .	TS3007c.B.words.xml	bounce	[]	[]	[]
793.52	Do your thing .	TS3007c.B.words.xml	Do	[]	[]	[]
927.42	It'll float .	TS3007c.B.words.xml	float	[]	[]	[]
1104.39	When your parents are watching some boring program , you can take the remote and do something else .	TS3007c.B.words.xml	take	[]	[]	[]
1113.53	Take it .	TS3007c.B.words.xml	Take	[]	[]	[]
1190.75	Um , always display the primary buttons clear and visible .	TS3007c.B.words.xml	display	[]	[]	[]
1201.4	And uh make the menu structure changeable .	TS3007c.B.words.xml	make	[]	[]	[]
1203.59	So if you press um system , that's Yeah , well m multiple system options can , maybe five or ten or or one , can fit in .	TS3007c.B.words.xml	fit	[]	[]	[]
1229.63	And um well , how do uh do we want to look at uh uh f um Yeah Does a remote look Well , it's you've gotta hold it in one hand .	TS3007c.B.words.xml	want	[]	[]	[]
1238.72	So um the middle like all remotes have to be in a little bit small , so you can put it in 	TS3007c.B.words.xml	put	[]	[]	[]
1254.35	So you can make it s a little broader .	TS3007c.B.words.xml	make	[]	[]	[]
1259.82	And maybe use your thumb 	TS3007c.B.words.xml	use	[]	[]	[]
1264.45	And use your other hands 	TS3007c.B.words.xml	use	[]	[]	[]
1289.48	So you can use it in uh in this way .	TS3007c.B.words.xml	use	[]	[]	[]
1297.88	One thing you've gotta keep in mind , keep the remote clear of too much functions at the same time .	TS3007c.B.words.xml	keep	[]	[]	[]
1303.92	Um , know that if you are changing the menu structure here , um 	TS3007c.B.words.xml	know	[]	[]	[]
1319.62	Just keep it as simple as uh as possible .	TS3007c.B.words.xml	keep	[]	[]	[]
1511.56	You c may use like when there's uh X.P. , uh a simple log-on , d you just push uh one or two or three .	TS3007c.B.words.xml	use	[]	[]	[X.P.]
1522.04	To log in .	TS3007c.B.words.xml	log	[]	[]	[]
1590.79	Just make through a remote as it is , but make an option to insert profiles , 'cause if my grandad would buy this remote , he wouldn't want to bother with all all the all the uh things to do .	TS3007c.B.words.xml	make	[]	[]	[]
1604.58	Just make it an option in menu , ins install powerful profiles or something .	TS3007c.B.words.xml	make	[]	[]	[]
1695.15	Yeah , the disadvantage vantage is that someone will has to send all the show-view numbers of the programs that they remotes and edit it all , will have to decide uh 	TS3007c.B.words.xml	have	[]	[]	[]
1845.48	W you can put it on chip anyway , so uh 	TS3007c.B.words.xml	put	[]	[]	[]
1877.87	So we should make it too complex .	TS3007c.B.words.xml	make	[]	[]	[]
1879.88	Is t some menu uh function , you choose parental control , and maybe four files will emerge from menu where put it on .	TS3007c.B.words.xml	emerge	[]	[]	[]
1908.4	You can put on Yeah .	TS3007c.B.words.xml	put	[]	[]	[]
1910.72	And you can just uh s when you buy it , you can select um personal preference , parental control on , and the password or something .	TS3007c.B.words.xml	select	[]	[]	[]
2013.21	Uh , or make it ourselves very diffic 	TS3007c.B.words.xml	make	[]	[]	[]
2273.42	Well , you can show somebody a logo for point five seconds , they'll still remember it .	TS3007c.B.words.xml	show	[]	[]	[]
2358.73	Stay here and 	TS3007c.B.words.xml	Stay	[]	[]	[]
2390.92	See you .	TS3007c.B.words.xml	See	[]	[]	[]
287.73	Just press the arrow keys I think .	ES2016b.C.words.xml	press	[]	[]	[]
633.32	Having just listened to what Corinne just said , I'll draw on some of the things as well .	ES2016b.C.words.xml	draw	[]	[]	[Corinne]
642.24	'Kay so I'm just gonna yeah approach the technical functions design .	ES2016b.C.words.xml	approach	[]	[]	[Kay]
672.05	To look at similar devices .	ES2016b.C.words.xml	look	[]	[]	[]
710.73	You have to set them , reset them to everything .	ES2016b.C.words.xml	reset	[]	[]	[]
712.9	Um and that would only add buttons .	ES2016b.C.words.xml	add	[]	[]	[]
723.33	Um or maybe just one that you could we could design and then different people , manufacturers could use it to set to their specifications , if if the aim is to get something that's unique in design .	ES2016b.C.words.xml	use	[]	[]	[]
818.64	So that we should concentrate on something that would set a trend .	ES2016b.C.words.xml	concentrate	[]	[]	[]
821.9	And then and change the fashion of remote controls .	ES2016b.C.words.xml	change	[]	[]	[]
1299.56	It'll wear off .	ES2016b.C.words.xml	wear	[]	[]	[]
1457.0	I did have have a thought about the sort of the tracking thing .	ES2016b.C.words.xml	have	[]	[]	[]
1467.48	Um that you you should put it back in .	ES2016b.C.words.xml	put	[]	[]	[]
1486.96	The ball could sit on a 	ES2016b.C.words.xml	sit	[]	[]	[]
1647.77	I'll yeah I'll have a look , try look at the actual appearance in the next break .	ES2016b.C.words.xml	have	[]	[]	[]
1656.08	I th I I do still think it needs to be something that is ultimately one-handed .	ES2016b.C.words.xml	think	[]	[]	[]
2192.9	So you'd have your , you'd put your hand into there with the thumb there .	ES2016b.C.words.xml	have	[]	[]	[]
2197.35	And then your thumb would do you'd have all the buttons sort of round here .	ES2016b.C.words.xml	do	[]	[]	[]
2213.37	Minimise its size .	ES2016b.C.words.xml	Minimise	[]	[]	[]
2376.32	How well it'll work yeah .	ES2016b.C.words.xml	work	[]	[]	[]
27.5	It does look very cool .	ES2006d.B.words.xml	look	[]	[]	[]
200.98	It l does look like the curvy and then the whole shape's curvy , so I would say that this curvy does look quite like a vegetable .	ES2006d.B.words.xml	look	[]	[]	[]
266.08	Ah , you did get that in then , mm-hmm .	ES2006d.B.words.xml	get	[]	[]	[mm]
307.38	On the wheel , like if you hold the wheel down then it will mute .	ES2006d.B.words.xml	mute	[]	[]	[]
469.61	Um you know , so that we can evaluate each one and like so it was about going back to the start and saying oh yeah , we did manage to do that , or oh no , we really forgot about that .	ES2006d.B.words.xml	evaluate	[]	[]	[]
486.09	Yes , I did have A. , B. , C. , and D. down here , but it seems to have turned into like just bullet points .	ES2006d.B.words.xml	have	[]	[]	[A., B., C., D.]
581.4	If you take a note of them , and then I'll put them in in a minute .	ES2006d.B.words.xml	put	[]	[]	[]
640.12	I mean you can you can use your finger to to scroll rather than your thumb .	ES2006d.B.words.xml	use	[]	[]	[]
644.69	So I mean that does kind of negate the whole R.S.I. issue .	ES2006d.B.words.xml	negate	[]	[]	[R.S.I.]
709.09	So it works like a mobile phone flipping , but y you know , as long as that side's flat , than that will work .	ES2006d.B.words.xml	work	[]	[]	[]
734.32	To make it beep .	ES2006d.B.words.xml	make	[]	[]	[]
790.05	So , should we maybe say f a five and say it is intuitive , but it's different , so , do you know , I mean it's obvious how to use it , but you might have to think about it first .	ES2006d.B.words.xml	know	[]	[]	[]
828.79	Um I would guess this comes back from this whole B. thing links in here , so possibly for left-handed .	ES2006d.B.words.xml	guess	[]	[]	[B.]
958.0	That's it , they can take it with them .	ES2006d.B.words.xml	take	[]	[]	[]
1184.86	Yeah , you might end up having to take off the 	ES2006d.B.words.xml	end	[]	[]	[]
1275.8	Yeah , the sample sensor will have to go , 'cause that's the most expensive thing on there .	ES2006d.B.words.xml	have	[]	[]	[]
1294.87	We can afford to get rid of it .	ES2006d.B.words.xml	afford	[]	[]	[]
1341.67	See , I was gonna say the scroll wheel pushbutton thing , 'cause 	ES2006d.B.words.xml	See	[]	[]	[pushbutton]
1420.15	Could b still put them on the side .	ES2006d.B.words.xml	put	[]	[]	[]
1598.05	If we'd had that sheet at the beginning should've been like , okay , so we can have that lot , let's just throw it together and do what we can .	ES2006d.B.words.xml	have	[]	[]	[]
1654.29	That would just be so cool , to d do all your notes and s 	ES2006d.B.words.xml	do	[]	[]	[]
1670.74	Okay , cover up the microphone .	ES2006d.B.words.xml	cover	[]	[]	[]
1701.85	We could make some little 	ES2006d.B.words.xml	make	[]	[]	[]
1738.39	I know you've got the pen , you might attack me with it .	ES2006d.B.words.xml	attack	[]	[]	[]
1914.64	We could draw animals on the board again .	ES2006d.B.words.xml	draw	[]	[]	[]
591.33	And it should fit the hand .	IS1004b.C.words.xml	fit	[]	[]	[]
905.45	Change the channels .	IS1004b.C.words.xml	Change	[]	[]	[]
1303.19	it can be useful for them , and the new users , as uh our Marketing Expert was saying , they can use the new gizmo which is speech recognition kind of thing .	IS1004b.C.words.xml	use	[]	[]	[Marketing, Expert]
