,Word,definition
726,mother,"A (human) female who (a) parents a child (b) gives birth to a baby (c) donates a fertilized egg or (d) donates a body cell which has resulted in a clone. Sometimes used in reference to a pregnant female, possibly as a shortened form of mother-to-be."
738,end,The terminal point of something in space or time.
744,room,(now rare) Opportunity or scope (to do something). [from 9th c.]
760,water,"(uncountable) A substance (of molecular formula H₂O) found at room temperature and pressure as a clear liquid; it is present naturally as rain, and found in rivers, lakes and seas; its solid form is ice and its gaseous form is steam."
768,light,"(physics, uncountable) Visible electromagnetic radiation. The human eye can typically detect radiation (light) in the wavelength range of about 400 to 750 nanometers. Nearby shorter and longer wavelength ranges, although not visible, are commonly called ultraviolet and infrared light."
780,word,"The smallest unit of language that has a particular meaning and can be expressed by itself; the smallest discrete, meaningful unit of language. (contrast morpheme.)"
790,door,"A portal of entry into a building, room, or vehicle, consisting of a rigid plane movable on a hinge. Doors are frequently made of wood or metal. May have a handle to help open and close, a latch to hold the door closed, and a lock that ensures the door cannot be opened without the key."
801,use,The act of using.
803,morning,The part of the day from dawn to noon.
807,felt,"A cloth or stuff made of matted fibres of wool, or wool and fur, fulled or wrought into a compact substance by rolling and pressure, with lees or size, without spinning or weaving."
816,power,"(social) Ability to coerce, influence or control."
831,voice,"Sound uttered by the mouth, especially by human beings in speech or song; sound thus uttered considered as possessing some special quality or character"
833,others,plural of other
838,works,plural of work
845,money,"A legally or socially binding conceptual contract of entitlement to wealth, void of intrinsic value, payable for all debts and taxes, and regulated in supply."
853,death,"The cessation of life and all associated processes; the end of an organism's existence as an entity independent from its environment and its return to an inert, nonliving state."
855,form,"(heading, physical) To do with shape."
872,matter,"Substance, material."
875,kind,"A type, race or category; a group of entities that have common characteristics such that they may be grouped together."
883,year,"A solar year, the time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference)."
885,friend,"A person other than a family member, spouse or lover whose company one enjoys and towards whom one feels affection."
892,order,"(countable) Arrangement, disposition, or sequence."
913,wife,"A married woman, especially in relation to her spouse."
914,means,plural of mean
919,feet,plural form of foot.
928,state,A condition; a set of circumstances applying at any given time.
932,son,One's male offspring.
935,children,plural of child.
939,hope,(countable  or  uncountable) The belief or expectation that something wished for can or will happen.
951,case,"An actual event, situation, or fact."
965,person,An individual; usually a human being. [from 13th c.]
975,city,"A large settlement, bigger than a town."
979,fact,(archaic) Action; the realm of action.
984,girl,"A female child, adolescent, or young woman."
990,times,plural of time
1005,english,"(US) Spinning or rotary motion given to a ball around the vertical axis, as in billiards or bowling."
1009,body,Physical frame.
1015,land,The part of Earth which is not covered by oceans or other bodies of water.
1026,air,"(uncountable, meteorology) The substance constituting earth's atmosphere, particularly:"
1028,nature,"(uncountable) The natural world; that which consists of all things unaffected by or predating human technology, production, and design. E.G. the ecosystem, the natural environment, virgin ground, unmodified species, laws of nature."
1035,law,"The body of binding rules and regulations, customs, and standards established in a community by its legislative and judicial authorities."
1041,help,(uncountable) Action given to provide assistance; aid.
1051,point,A discrete division of something.
1053,child,"A person who has not yet reached adulthood, whether natural (puberty), cultural (initiation), or legal (majority)"
1055,letter,A symbol in an alphabet.
1059,wish,"A desire, hope, or longing for something or for something to happen."
1062,fire,"(uncountable) A (usually self-sustaining) chemical reaction involving the bonding of oxygen with carbon or other fuel, with the production of heat and the presence of flame or smouldering."
1067,women,plural form of woman
1072,number,(countable) An abstract entity used to describe quantity.
1075,hour,A time period of sixty minutes; one twenty-fourth of a day.
1076,friends,plural of friend
1083,war,"(uncountable) Organized, large-scale, armed conflict between countries or between national, ethnic, or other sizeable groups, usually involving the engagement of military forces."
1090,business,(countable) A specific commercial enterprise or establishment.
1097,manner,Mode of action; way of performing or doing anything
1105,reason,A cause:
1110,call,A telephone conversation.
1123,john,(slang) A prostitute's client.
1132,boy,"A young male, [from 15th c.] particularly"
1144,family,"(countable) A group of people who are closely related to one another (by blood, marriage or adoption); kin; for example, a set of parents and their children; an immediate family."
1147,soul,"(religion, folklore) The spirit or essence of a person usually thought to consist of one's thoughts and personality. Often believed to live on after the person's death."
1158,spirit,The soul of a person or other creature.
1160,question,"A sentence, phrase or word which asks for information, reply or response; an interrogative."
1162,care,"(obsolete) Grief, sorrow."
1164,truth,"True facts, genuine depiction or statements of reality."
1168,ground,"(uncountable) The surface of the Earth, as opposed to the sky or water or underground."
1174,rest,"(uncountable, of a person or animal) Relief from work or activity by sleeping; sleep."
1185,making,"The act of forming, causing, or constituting; workmanship; construction."
1210,town,"A settlement; an area with residential districts, shops and amenities, and its own local government; especially one larger than a village and smaller than a city."
1216,need,(countable and uncountable) A requirement for something; something needed.
1217,cause,"(countable, often with of, typically of adverse results) The source of, or reason for, an event or action; that which produces or effects a result."
1223,evening,"The time of the day between dusk and night, when it gets dark."
1237,lady,(historical) The mistress of a household.
1241,sn,(Internet) Abbreviation of screenname.
1242,answer,A response or reply; something said or done in reaction to a statement or question.
1244,sea,A large body of salt water.
1245,fear,"(uncountable) A strong, uncontrollable, unpleasant emotion caused by actual or perceived danger or threat."
1252,terms,plural of term
1254,doubt,"Uncertainty, disbelief."
1262,arms,plural of arm
1267,sense,"Any of the manners by which living beings perceive the physical world: for humans sight, smell, hearing, touch, taste."
1287,character,A being involved in the action of a story.
1290,sort,A general type.
1291,sight,(in the singular) The ability to see.
1297,party,(law) A person or group of people constituting a particular side in a contract or legal action.
1319,story,"A sequence of real or fictional events; or, an account of such a sequence."
1326,book,"A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc."
1330,account,"(accounting) A registry of pecuniary transactions; a written or printed statement of business dealings or debts and credits, and also of other things subjected to a reckoning or review. [from c. 1300]"
1332,mark,"(heading) Boundary, land within a boundary."
1336,interest,"(uncountable, finance) The price paid for obtaining, or price received for providing, money or goods in a credit transaction, calculated as a fraction of the amount or value of what was borrowed. [from earlier 16th c.]"
1341,bed,"A piece of furniture, usually flat and soft, for resting or sleeping on."
1345,age,"(countable) The whole duration of a being, whether animal, plant, or other kind, being alive."
1350,force,Strength or energy of body or mind; active power; vigour; might; capacity of exercising an influence or producing an effect.
1354,idea,"(philosophy) An abstract archetype of a given thing, compared to which real-life examples are seen as imperfect approximations; pure essence, as opposed to actual examples. [from 14th c.]"
1358,art,Wikiquote
1361,spoke,A support structure that connects the axle or the hub of a wheel to the rim.
1366,brother,Son of the same parents as another person.
1380,line,"A path through two or more points (compare ‘segment’); a continuous mark, including as made by a pen; any path, curved or straight."
1387,table,Furniture with a top surface to accommodate a variety of uses.
1391,river,"A large and often winding stream which drains a land mass, carrying water down from higher areas to a lower point, ending at an ocean or in an inland sea."
1396,eye,An organ through which animals see.
1399,ety,Abbreviation of etymology.
1405,information,"That which resolves uncertainty; anything that answers the question of ""what a given entity is""."
1412,past,"The period of time that has already happened, in contrast to the present and the future."
1416,hours,plural of hour
1425,miles,plural of mile
1430,act,"(countable) Something done, a deed."
1440,purpose,An object to be reached; a target; an aim; a goal.
1451,blood,"A vital liquid flowing in the bodies of many types of animals that usually conveys nutrients and oxygen. In vertebrates, it is colored red by hemoglobin, is conveyed by arteries and veins, is pumped by the heart and is usually generated in bone marrow."
1453,rose,"A shrub of the genus Rosa, with red, pink, white or yellow flowers."
1458,south,"One of the four major compass points, specifically 180°, directed toward the South Pole, and conventionally downwards on a map, abbreviated as S."
1477,view,(physical) Visual perception.
1479,position,A place or location.
1500,road,(obsolete) The act of riding on horseback. [9th-17th c.]
1511,la,(music) A syllable used in solfège to represent the sixth note of a major scale.
1513,daughter,One’s female offspring.
1524,laws,plural of law
1526,knowledge,"The fact of knowing about something; general understanding or familiarity with a subject, place, situation etc. [from 14th c.]"
1541,copy,The result of copying; an identical duplicate of an original.
1543,husband,(obsolete) The master of a house; the head of a family; a householder.
1551,peace,"A state of tranquility, quiet, and harmony; absence of violence. For instance, a state free from civil disturbance."
1564,north,"One of the four major compass points, specifically 0°, directed toward the North Pole, and conventionally upwards on a map, abbreviated as N."
1569,effect,The result or outcome of a cause. See usage notes below.
1577,fall,The act of moving to a lower position under the effect of gravity.
1584,service,An act of being of assistance to someone.
1592,American,"Originally, a native or inhabitant of the British North American colonies of European descent; now, a person born in, or a citizen or inhabitant of, the United States of America. [from 17th c.]"
1595,hair,(countable) A pigmented filament of keratin which grows from a follicle on the skin of humans and other mammals.
1604,copyright,"(uncountable) The right by law to be the entity which determines who may publish, copy and distribute a piece of writing, music, picture or other work of authorship."
1606,doing,"A deed or action, especially when somebody is held responsible for it."
1609,army,"A large, highly organized military force, concerned mainly with ground (rather than air or naval) operations."
1613,horse,Any of several animals related to Equus ferus caballus.
1616,future,The time ahead; those moments yet to be experienced.
1619,pleasure,(uncountable) A state of being pleased or contented; gratification.
1622,history,The aggregate of past events.
1624,west,"One of the four principal compass points, specifically 270°, conventionally directed to the left on maps; the direction of the setting sun at an equinox, abbreviated as W."
1638,note,(heading) A symbol or annotation.
1644,gold,"(uncountable) A heavy yellow elemental metal of great value, with atomic number 79 and symbol Au."
1656,master,Someone who has control over something or someone.
1659,office,"(religion) A ceremonial duty or service, particularly:"
1663,front,The foremost side of something or the end that faces the direction it normally moves.
1672,Dr,"Doctor, a title used before a doctor's name or surname (Dr Jane Doe, Dr Doe)"
1678,wind,"(countable, uncountable) Real or perceived movement of atmospheric air usually caused by convection or differences in air pressure."
1682,attention,(uncountable) Mental focus.
1684,government,"The body with the power to make and/or enforce laws to control a country, land area, people or organization."
1687,church,(countable) A Christian house of worship; a building where religious services take place. [from 9th c.]
1689,strength,The quality or degree of being strong.
1691,length,The distance measured along the longest dimension of an object.
1693,company,A team; a group of people who work together professionally.
1696,paper,"A sheet material used for writing on or printing on (or as a non-waterproof container), usually made by draining cellulose fibres from a suspension in water."
1699,letters,plural of letter
1708,fellow,(obsolete) A colleague or partner.
1711,bear,"A large omnivorous mammal, related to the dog and raccoon, having shaggy hair, a very small tail, and flat feet; a member of family Ursidae."
1716,opinion,"A subjective belief, judgment or perspective that a person has formed about a topic, issue, person or thing."
1718,window,"An opening, usually covered by one or more panes of clear glass, to allow light and air from outside to enter a building or vehicle."
1723,faith,"The process of forming or understanding abstractions, ideas, or beliefs, without empirical evidence, experience or observation."
1726,agreement,(countable) An understanding between entities to follow a specific course of conduct.
1727,charge,The scope of someone's responsibility.
1729,beauty,"The quality of being (especially visually) attractive, pleasing, fine or good-looking; comeliness."
1732,lips,plural of lip
1737,arm,"The portion of the upper human appendage, from the shoulder to the wrist and sometimes including the hand."
1742,duty,That which one is morally or legally obligated to do.
1745,distance,"(countable) The amount of space between two points, usually geographical points, usually (but not necessarily) measured along a straight line."
1747,silence,The absence of any sound.
1750,foot,(countable) A biological structure found in many animals that is used for locomotion and that is frequently a separate organ at the terminal part of the leg.   transl.
1757,object,A thing that has physical existence.
1764,save,"In various sports, a block that prevents an opponent from scoring."
1768,gentleman,"(chiefly  historical) A man of gentle but not noble birth, particularly a man of means (originally ownership of property) who does not work for a living but has no official status in a peerage; (Britain law) an armiferous man ranking below a knight."
1769,trees,plural of tree
1774,trouble,A distressing or dangerous situation.
1776,smile,"A facial expression comprised by flexing the muscles of both ends of one's mouth, often showing the front teeth, without vocalisation, and in humans is a common involuntary or voluntary expression of happiness, pleasure, amusement or anxiety."
1778,books,plural of book
1788,persons,"plural of person; used to refer to them individually, rather than as a group. Contrast people."
1790,blockquote,"(Internet) a lengthy quotation that is formatted so as to be set off from the main text on a webpage, as by italicization and indentation"
1795,minutes,plural of minute
1800,chief,"A leader or head of a group of people, organisation, etc. [from 13th c.]"
1804,chance,(countable) An opportunity or possibility.
1810,beginning,"(uncountable) The act of doing that which begins anything; commencement of an action, state, or space of time; entrance into being or upon a course; the first act, effort, or state of a succession of acts or states."
1813,action,Something done so as to accomplish a purpose.
1818,deal,"(obsolete) A division, a portion, a share."
1826,thinking,Thought; gerund of think.
1837,presence,"The fact or condition of being present, or of being within sight or call, or at hand."
1853,donations,plural of donation
1857,mouth,(anatomy) The opening of a creature through which food is ingested.
1861,thoughts,plural of thought
1862,months,plural of month
1873,joy,"A feeling of extreme happiness or cheerfulness, especially related to the acquisition or expectation of something good."
1875,enemy,"Someone who is hostile to, feels hatred towards, opposes the interests of, or intends injury to someone else."
1880,states,plural of state
1882,ship,A water-borne vessel generally larger than a boat.
1886,condition,A logical clause or phrase that a conditional statement uses. The phrase can either be true or false.
1899,influence,"The power to affect, control or manipulate something or someone; the ability to change the development of fluctuating things such as conduct, thoughts or decisions."
1903,boys,plural of boy
1905,outside,The part of something that faces out; the outer surface.
1909,secret,"(countable, uncountable) Knowledge that is hidden and intended to be kept hidden. [from later 14th c.]"
1912,parts,plural of part
1917,appearance,The act of appearing or coming into sight; the act of becoming visible to the eye.
1920,march,"A formal, rhythmic way of walking, used especially by soldiers, bands and in ceremonies."
1930,tears,plural of tear
1932,horses,plural of horse
1934,places,plural of place
1954,period,A length of time. [from 17th c.]
1958,sister,A daughter of the same parents as another person; a female sibling.
1960,battle,"A general action, fight, or encounter, in which all the divisions of an army are or may be engaged; an engagement; a combat."
1966,school,"(collective) A group of fish or a group of marine mammals such as porpoises, dolphins, or whales."
1970,occasion,A favorable opportunity; a convenient or timely chance. [from 14th c.]
1975,man's,An adult male human.
1981,food,"(uncountable) Any solid substance that can be consumed by living organisms, especially by eating, in order to sustain life."
1982,youth,(uncountable) The quality or state of being young.
1989,system,A collection of organized things; a whole composed of relationships among its members. [from early 17th c.]
1992,dinner,A midday meal (in a context in which the evening meal is called supper or tea).
2011,language,"(countable) A body of words, and set of methods of combining them (called a grammar), understood by a community and used as a form of communication."
2013,expression,"The action of expressing thoughts, ideas, feelings, etc."
2014,week,Any period of seven consecutive days.
2015,hall,A corridor; a hallway.
2016,danger,Exposure to likely harm; peril.
2018,property,Something that is owned.
2020,wonder,Something that causes amazement or awe; a marvel.
2023,figure,A drawing or diagram conveying information.
2029,court,"An enclosed space; a courtyard; an uncovered area shut in by the walls of a building, or by different buildings; also, a space opening from a street and nearly surrounded by houses; a blind alley."
2040,respect,(uncountable) an attitude of consideration or high regard
2052,tree,"(botany) A large plant, not exactly defined, but typically over four meters in height, with a single trunk that grows in girth with age and branches (that also grow in circumference with age)."
2055,remain,(chiefly in the plural) That which is left; relic; remainder.
2057,society,"(countable) A long-standing group of people sharing cultural aspects such as language, dress, norms of behavior and artistic forms."
2065,wall,"A rampart of earth, stones etc. built up for defensive purposes."
2070,heaven,"The sky, specifically:"
2074,command,An order to do something.
2077,tone,(music) A specific pitch.
2079,regard,"(countable) A steady look, a gaze. [from 15th c.]"
2083,mere,(obsolete) A sea.
2089,month,"A period into which a year is divided, historically based on the phases of the moon."
2097,experience,"(countable, uncountable) Event(s) of which one is cognizant."
2099,street,"A paved part of road, usually in a village or a town."
2102,writing,(uncountable) Graphism of symbols such as letters that express some meaning.
2106,circumstances,plural of circumstance
2113,duke,The male ruler of a duchy (female equivalent: duchess).
2124,east,"One of the four principal compass points, specifically 90°, conventionally directed to the right on maps; the direction of the rising sun at an equinox. Abbreviated as E."
2129,wood,"(uncountable) The substance making up the central part of the trunk and branches of a tree. Used as a material for construction, to manufacture various items, etc. or as fuel."
2131,stone,(uncountable) A hard earthen substance that can form large rocks.
2136,notice,(chiefly uncountable) The act of observing; perception.
2143,boat,"A craft used for transportation of goods, fishing, racing, recreational cruising, or military use on or in the water, propelled by oars or outboard motor or inboard motor or by wind."
2145,noble,An aristocrat; one of aristocratic blood. [from 14th c.]
2154,value,The quality (positive or negative) that renders something desirable or valuable.
2158,direction,"A theoretical line (physically or mentally) followed from a point of origin or towards a destination. May be relative (e.g. up, left, outbound, dorsal), geographical (e.g. north), rotational (e.g. clockwise), or with respect to an object or location (e.g. toward Boston)."
2159,chair,"An item of furniture used to sit on or in comprising a seat, legs, back, and sometimes arm rests, for use by one person. Compare stool, couch, sofa, settee, loveseat and bench."
2164,support,"Something which supports. Often used attributively, as a complement or supplement to."
2168,tom,The male of the domesticated cat.
2173,date,"The fruit of the date palm, Phoenix dactylifera, somewhat in the shape of an olive, containing a soft, sweet pulp and enclosing a hard kernel."
2176,Christian,A believer in Christianity.
2179,village,A rural habitation of size between a hamlet and a town.
2185,lines,plural of line
2188,field,"A land area free of woodland, cities, and towns; open country."
2196,permission,authorisation; consent (especially formal consent from someone in authority)
2198,success,(obsolete) Something which happens as a consequence; the outcome or result. [16th-18th c.]
2199,piece,"A part of a larger whole, usually in such a form that it is able to be separated from other parts."
2206,ex,The name of the Latin-script letter X/x.
2215,conversation,(obsolete) Interaction; commerce or intercourse with other people; dealing with others. [14th-18th c.]
2219,hill,An elevated location smaller than a mountain.
2221,music,"A sound, or the study of such sounds, organized in time."
2223,opportunity,"A chance for advancement, progress or profit."
2225,German,(countable) A native or inhabitant of Germany; a person of German citizenship or nationality.
2228,afternoon,"The part of the day from noon or lunchtime until sunset, evening, or suppertime or 6pm."
2238,girls,plural of girl
2250,honour,"British spelling, Canadian, Commonwealth of Nations,  and Ireland standard spelling of honor."
2258,news,New information of interest.
2260,top,The highest or uppermost part of something.
2264,scene,The location of an event that attracts attention.
2267,marriage,The state of being married. [from 14th c.]
2268,step,An advance or movement made from one foot to the other; a pace.
2270,garden,"An outdoor area containing one or more types of plants, usually plants grown for food or ornamental purposes."
2275,race,"A contest between people, animals, vehicles, etc. where the goal is to be the first to reach some objective. Example: Several horses run in a horse race, and the first one to reach the finishing post wins"
2283,individual,"A person considered alone, rather than as belonging to a group of people."
2287,sitting,A period during which one is seated for a specific purpose.
2295,bit,A piece of metal placed in a horse's mouth and connected to the reins to direct the animal.
2300,speech,(uncountable) The faculty of uttering articulate sounds or words; the ability to speak or to use vocalizations to communicate.
2311,authority,(uncountable) The power to enforce rules or give orders.
2313,floor,The interior bottom or surface of a house or building; the supporting surface of a room.
2318,ways,plural of way
2319,officers,plural of officer
2323,happiness,(uncountable) The emotion of being happy; joy.
2324,flowers,plural of flower
2329,summer,"One of four seasons, traditionally the second, marked by the longest and typically hottest days of the year due to the inclination of the Earth and thermal lag. Typically regarded as being from June 21 to September 22 or 23 in parts of the USA, the months of June, July and August in the United Kingdom and the months of December, January and February in the Southern Hemisphere."
2334,religion,"(uncountable) The belief in a reality beyond what is perceptible by the senses, and the practices associated with this belief."
2336,picture,"A representation of anything (as a person, a landscape, a building) upon canvas, paper, or other surface, by drawing, painting, printing, photography, etc."
2338,walls,plural of wall
2344,watch,A portable or wearable timepiece.
2348,leaves,plural of leaf
2357,effort,The work involved in performing an activity; exertion.
2375,author,"The originator or creator of a work, especially of a literary composition."
2380,brown,(countable and uncountable) A colour like that of chocolate or coffee.
2385,pain,"(countable and uncountable) An ache or bodily suffering, or an instance of this; an unpleasant sensation, resulting from a derangement of functions, disease, or injury by violence; hurt."
2394,soldiers,plural of soldier
2396,houses,plural of house
2400,talking,The action of the verb talk.
2402,turning,(Britain) A turn or deviation from a straight course.
2404,century,"A period of 100 consecutive years; often specifically a numbered period with conventional start and end dates, e.g., the twentieth century, which stretches from (strictly) 1901 through 2000, or (informally) 1900 through 1999. The first century AD was from 1 to 100."
2405,steps,plural of step.
2418,matters,plural of matter
2423,corner,"The point where two converging lines meet; an angle, either external or internal."
2428,justice,The state or characteristic of being just or fair.
2432,trust,Confidence in or reliance on some person or quality.
2437,laugh,An expression of mirth particular to the human species; the sound heard in laughing; laughter.
2443,passage,A paragraph or section of text or music with particular meaning.
2452,dress,(countable) An item of clothing (usually worn by a woman or young girl) which both covers the upper part of the body and includes skirts below the waist.
2461,medium,"(plural media or mediums) The chemistry of the surrounding environment, e.g. solid, liquid, gas, vacuum, or a specific substance such as a solvent."
2464,efforts,plural of effort
2466,sake,"Cause, interest or account."
2467,breath,(uncountable) The act or process of breathing.
2472,ladies,plural of lady
2475,possession,Control or occupancy of something for which one does not necessarily have private property rights.
2481,memory,(uncountable) The ability of a system to record information about things or events with the facility of recalling them later at will.
2487,grave,An excavation in the earth as a place of burial
2492,spot,"A round or irregular patch on the surface of a thing having a different color, texture etc. and generally round in shape."
2495,troops,plural of troop
2505,island,"A contiguous area of land, smaller than a continent, totally surrounded by water."
2507,meeting,(uncountable) The action of the verb to meet.
2509,camp,An outdoor place acting as temporary accommodation in tents or other temporary structures.
2513,nation,"A historically constituted, stable community of people, formed on the basis of a common language, territory, economic life, ethnicity and/or psychological make-up manifested in a common culture."
2516,existence,"The state of being, existing, or occurring; beinghood."
2519,copies,plural of copy
2521,sky,"The atmosphere above a given point, especially as visible from the ground during the day."
2528,fortune,"Destiny, especially favorable."
2530,v.,version
2537,shore,"Land adjoining a non-flowing body of water, such as an ocean, lake or pond."
2541,domain,A geographic area owned or controlled by a single person or organization.
2544,situation,The way in which something is positioned vis-à-vis its surroundings.
2545,looks,plural of look
2547,promise,(countable) an oath or affirmation; a vow
2549,orders,plural of order
2551,degree,(obsolete outside heraldry) A step on a set of stairs; the rung of a ladder. [from 13th c.]
2552,middle,"A centre, midpoint."
2555,winter,"Traditionally the fourth of the four seasons, typically regarded as being from December 23 to March 20 in continental regions of the Northern Hemisphere or the months of June, July and August in the Southern Hemisphere. It is the time when the sun is lowest in the sky, resulting in short days, and the time of year with the lowest atmospheric temperatures for the region."
2557,plan,"A drawing showing technical details of a building, machine, etc., with unwanted details omitted, and often using symbols rather than detailed drawing to represent doors, valves, etc."
2567,conduct,The act or method of controlling or directing
2575,surprise,Something not expected.
2577,minute,A unit of time equal to sixty seconds (one-sixtieth of an hour).
2581,cases,plural of case
2589,lead,"(uncountable) A heavy, pliable, inelastic metal element, having a bright, bluish color, but easily tarnished; both malleable and ductile, though with little tenacity. It is easily fusible, forms alloys with other metals, and is an ingredient of solder and type metal. Atomic number 82, symbol Pb (from Latin plumbum)."
2597,names,plural of name
2620,glass,"(uncountable) An amorphous solid, often transparent substance made by melting sand with a mixture of soda, potash and lime."
2622,board,"A relatively long, wide and thin piece of any material, usually wood or similar, often for use in construction or furniture-making."
2626,affairs,plural of affair
2627,instance,(obsolete) Urgency of manner or words; an urgent request; insistence. [14th-19th c.]
2632,loss,"an instance of losing, such as a defeat"
2634,doctor,"A physician; a member of the medical profession; one who is trained and licensed to heal the sick or injured. The final examination and qualification may award a doctor degree in which case the post-nominal letters are D.O., DPM, M.D., DMD, DDS, DPT, DC, Pharm.D., in the US or MBBS in the UK."
2636,offer,A proposal that has been made.
2639,class,"(countable) A group, collection, category or set sharing characteristics or attributes."
2645,access,(uncountable) A way or means of approaching or entering; an entrance; a passage.
2654,forms,plural of form
2656,darkness,(uncountable) The state of being dark; lack of light.
2664,passion,"Any great, strong, powerful emotion, especially romantic love or hate."
2666,ones,plural of one
2669,example,Something that is representative of all such things in a group.
2671,ears,plural of ear
2673,questions,plural of question
2675,start,The beginning of an activity.
2683,keeping,conformity or harmony.
2685,spite,"Ill will or hatred toward another, accompanied with the disposition to irritate, annoy, or thwart; a desire to vex or injure; petty malice"
2692,hart,"A male deer, especially the male of the red deer after his fifth year."
2695,hat,"A covering for the head, often in the approximate form of a cone or a cylinder closed at its top end, and sometimes having a brim and other decoration."
2698,dog,"A mammal, Canis lupus familiaris, that has been domesticated for thousands of years, of highly variable appearance due to human breeding."
2700,silver,"(uncountable) A lustrous, white, metallic element, atomic number 47, atomic weight 107.87, symbol Ag."
2712,servant,"One who is hired to perform regular household or other duties, and receives compensation. As opposed to a slave."
2714,pride,"The quality or state of being proud; an unreasonable overestimation of one's own superiority in talents, beauty, wealth, rank etc., which manifests itself in lofty airs, distance, reserve and often contempt of others."
2721,train,Elongated portion.
2727,instant,A very short period of time; a moment.
2733,path,"A trail for the use of, or worn by, pedestrians."
2735,greek,Alternative letter-case form of Greek (“nonsense writing or talk; gibberish”).
2739,meaning,"(of words or symbols) The entity, perception, feeling or concept thereby represented or evoked."
2748,lot,A large quantity or number; a great deal.
2756,rule,"A regulation, law, guideline."
2757,sword,"(weaponry) A long-bladed weapon with a hilt, and usually a pommel and cross-guard, which is designed to stab, slash, and/or hack."
2758,attack,"An attempt to cause damage, injury to, or death of opponent or enemy."
2760,seat,Something to be sat upon.
2762,game,A playful or competitive activity.
2765,health,"The state of being free from physical or psychological disease, illness, or malfunction; wellness. [from 11th c.]"
2767,paragraph,"A passage in text that is about a different subject from the preceding text, marked by commencing on a new line, the first line sometimes being indented."
2769,statement,A declaration or remark.
2771,social,A festive gathering to foster introductions.
2778,courage,"The quality of being confident, not afraid or easily intimidated, but without being incautious or inconsiderate."
2780,members,plural of member
2781,grace,"(countable, uncountable) Charming, pleasing qualities."
2785,dream,Imaginary events seen in the mind while sleeping.
2796,rock,"A formation of minerals, specifically:"
2801,jack,"A mechanical device used to raise and (temporarily) support a heavy object, e.g. screw jack, scissor jack, hydraulic jack, ratchet jack, scaffold jack."
2809,shook,"A set of pieces for making a cask or box, usually wood."
2814,mighty,"(obsolete, rare) A warrior of great strength and courage."
2823,movement,Physical motion between points in space.
2824,fee,"(feudal law) A right to the use of a superior's land, as a stipend for services to be performed; also, the land so held; a fief."
2828,share,"A portion of something, especially a portion given or allotted to someone."
2832,dollars,plural of dollar
2839,glory,Great or overwhelming beauty or splendour.
2843,space,(heading) Of time.
2849,peter,(slang) The penis.
2851,wine,An alcoholic beverage made by fermenting the juice of grapes.
2855,mountains,plural of mountain
2856,taste,One of the sensations produced by the tongue in response to certain chemicals.
2858,iron,"(uncountable) A common, inexpensive metal, often black in color, that rusts, is attracted by magnets, and is used in making steel."
